step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.32567,0.4881,,
2,2.28255,0.54688,,
3,2.116,0.54348,,
4,1.79655,0.57746,,
5,2.3071,0.56716,,
6,2.47424,0.44444,,
7,1.96163,0.53846,,
8,1.76187,0.57353,,
9,1.66327,0.5303,,
10,1.59442,0.64773,,
11,1.48715,0.67045,,
12,1.30319,0.55385,,
13,1.61675,0.57778,,
14,1.04919,0.63636,,
15,0.91837,0.76119,,
16,1.20193,0.63095,,
17,0.86808,0.67606,,
18,1.04772,0.69118,,
19,1.2071,0.69565,,
20,0.89805,0.67188,,
21,0.83764,0.67692,,
22,0.80837,0.6875,,
23,0.80822,0.68182,,
24,0.89611,0.70588,,
25,0.91067,0.70455,,
26,0.6113,0.8209,,
27,0.89112,0.70238,,
28,0.91658,0.78261,,
29,0.95779,0.73333,,
30,0.58613,0.8169,,
31,0.48787,0.875,,
32,0.48854,0.86567,,
33,0.48618,0.90769,,
34,0.77335,0.76087,,
35,0.71032,0.7619,,
36,0.70588,0.78409,,
37,0.60127,0.77273,,
38,0.62808,0.79412,,
39,0.71732,0.75556,,
40,0.42114,0.87324,,
41,0.3364,0.92308,,
42,0.56961,0.80952,,
43,0.36249,0.88732,,
44,0.58662,0.84444,,
45,0.49259,0.82353,,
46,0.31085,0.91045,,
47,0.26025,0.9375,,
48,0.41394,0.89394,,
49,0.50978,0.82955,,
50,0.47546,0.82609,,
51,0.35674,0.95455,,
52,0.19934,0.96875,,
53,0.24788,0.9403,,
54,0.39557,0.82609,,
55,0.20304,0.93846,,
56,0.32279,0.88235,,
57,0.39086,0.89286,,
58,0.31969,0.95556,,
59,0.17715,0.97183,,
60,0.39945,0.86364,,
61,0.11467,0.98438,,
62,0.25313,0.8913,,
63,0.35964,0.875,,
64,0.13449,0.98462,,
65,0.13857,0.97183,,
66,0.18423,0.9697,,
67,0.20552,0.95556,,
68,0.14712,0.95522,,
69,0.20414,0.92647,,
70,0.28988,0.90476,,
71,0.18698,0.95588,,
72,0.1603,0.95556,,
73,0.24721,0.92045,,
74,0.25884,0.92857,,
75,0.08752,0.98592,,
76,0.12412,0.98485,,
77,0.10792,0.97015,,
78,0.05527,1.0,,
79,0.12236,0.97826,,
80,0.07618,1.0,,
81,0.09732,0.98485,,
82,0.04612,1.0,,
83,0.06544,1.0,,
84,0.18337,0.96591,,
85,0.06238,1.0,,
86,0.10635,1.0,,
87,0.18078,0.97619,,
88,0.09228,1.0,,
89,0.07876,1.0,,
90,0.07644,1.0,,
91,0.069,1.0,,
92,0.07985,1.0,,
93,0.15348,0.97727,,
94,0.07316,1.0,,
95,0.08901,1.0,,
96,0.16385,0.9881,,
97,0.04699,1.0,,
98,0.04683,1.0,,
99,0.03166,1.0,,
100,0.06963,1.0,,